,Joan_var,Pere_var,Marta_var,Claudia_var,Marc_var,Maria_var
266,649.32,931.91,1043.66,1027.27,1353.82,1087.6
267,649.32,931.91,1043.66,1027.27,1353.82,1087.6
268,649.32,931.91,1043.66,1027.27,1353.82,1103.91
269,649.32,931.91,1043.66,1027.27,1353.82,1103.91
270,659.06,931.91,1043.66,1027.27,1374.13,1103.91
271,659.06,931.91,1043.66,1027.27,1374.13,1103.91
272,659.06,931.91,1043.66,1027.27,1374.13,1103.91
273,659.06,931.91,1043.66,1027.27,1374.13,1103.91
274,659.06,931.91,1059.31,1027.27,1374.13,1103.91
275,659.06,931.91,1059.31,1027.27,1374.13,1103.91
276,659.06,931.91,1059.31,1027.27,1374.13,1103.91
277,659.06,945.89,1059.31,1027.27,1374.13,1103.91
278,659.06,945.89,1059.31,1042.68,1374.13,1103.91
279,659.06,945.89,1059.31,1042.68,1374.13,1103.91
280,659.06,945.89,1059.31,1042.68,1374.13,1120.47
281,659.06,945.89,1059.31,1042.68,1374.13,1120.47
282,668.95,945.89,1059.31,1042.68,1394.74,1120.47
283,668.95,945.89,1059.31,1042.68,1394.74,1120.47
284,668.95,945.89,1059.31,1042.68,1394.74,1120.47
285,668.95,945.89,1059.31,1042.68,1394.74,1120.47
286,668.95,945.89,1075.2,1042.68,1394.74,1120.47
287,668.95,945.89,1075.2,1042.68,1394.74,1120.47
288,668.95,945.89,1075.2,1042.68,1394.74,1120.47
289,668.95,960.08,1075.2,1042.68,1394.74,1120.47
290,668.95,960.08,1075.2,1058.32,1394.74,1120.47
291,668.95,960.08,1075.2,1058.32,1394.74,1120.47
292,668.95,960.08,1075.2,1058.32,1394.74,1137.28
293,668.95,960.08,1075.2,1058.32,1394.74,1137.28
294,678.98,960.08,1075.2,1058.32,1415.66,1137.28
295,678.98,960.08,1075.2,1058.32,1415.66,1137.28
296,678.98,960.08,1075.2,1058.32,1415.66,1137.28
297,678.98,960.08,1075.2,1058.32,1415.66,1137.28
298,678.98,960.08,1091.33,1058.32,1415.66,1137.28
299,678.98,960.08,1091.33,1058.32,1415.66,1137.28
300,678.98,960.08,1091.33,1058.32,1415.66,1137.28
301,678.98,974.48,1091.33,1058.32,1415.66,1137.28
302,678.98,974.48,1091.33,1074.19,1415.66,1137.28
303,678.98,974.48,1091.33,1074.19,1415.66,1137.28
304,678.98,974.48,1091.33,1074.19,1415.66,1154.34
305,678.98,974.48,1091.33,1074.19,1415.66,1154.34
306,689.17,974.48,1091.33,1074.19,1436.89,1154.34
307,689.17,974.48,1091.33,1074.19,1436.89,1154.34
308,689.17,974.48,1091.33,1074.19,1436.89,1154.34
309,689.17,974.48,1091.33,1074.19,1436.89,1154.34
310,689.17,974.48,1107.7,1074.19,1436.89,1154.34
311,689.17,974.48,1107.7,1074.19,1436.89,1154.34
312,689.17,974.48,1107.7,1074.19,1436.89,1154.34
313,689.17,989.09,1107.7,1074.19,1436.89,1154.34
314,689.17,989.09,1107.7,1090.31,1436.89,1154.34
315,689.17,989.09,1107.7,1090.31,1436.89,1154.34
316,689.17,989.09,1107.7,1090.31,1436.89,1171.65
317,689.17,989.09,1107.7,1090.31,1436.89,1171.65
318,699.51,989.09,1107.7,1090.31,1458.45,1171.65
319,699.51,989.09,1107.7,1090.31,1458.45,1171.65
320,699.51,989.09,1107.7,1090.31,1458.45,1171.65
321,699.51,989.09,1107.7,1090.31,1458.45,1171.65
322,699.51,989.09,1124.31,1090.31,1458.45,1171.65
323,699.51,989.09,1124.31,1090.31,1458.45,1171.65
324,699.51,989.09,1124.31,1090.31,1458.45,1171.65
325,699.51,1003.93,1124.31,1090.31,1458.45,1171.65
326,699.51,1003.93,1124.31,1106.66,1458.45,1171.65
327,699.51,1003.93,1124.31,1106.66,1458.45,1171.65
328,699.51,1003.93,1124.31,1106.66,1458.45,1189.23
329,699.51,1003.93,1124.31,1106.66,1458.45,1189.23
330,710.0,1003.93,1124.31,1106.66,1480.32,1189.23
331,710.0,1003.93,1124.31,1106.66,1480.32,1189.23
332,710.0,1003.93,1124.31,1106.66,1480.32,1189.23
333,710.0,1003.93,1124.31,1106.66,1480.32,1189.23
334,710.0,1003.93,1141.18,1106.66,1480.32,1189.23
335,710.0,1003.93,1141.18,1106.66,1480.32,1189.23
336,710.0,1003.93,1141.18,1106.66,1480.32,1189.23
337,710.0,1018.99,1141.18,1106.66,1480.32,1189.23
338,710.0,1018.99,1141.18,1123.26,1480.32,1189.23
339,710.0,1018.99,1141.18,1123.26,1480.32,1189.23
340,710.0,1018.99,1141.18,1123.26,1480.32,1207.07
341,710.0,1018.99,1141.18,1123.26,1480.32,1207.07
342,720.65,1018.99,1141.18,1123.26,1502.53,1207.07
343,720.65,1018.99,1141.18,1123.26,1502.53,1207.07
344,720.65,1018.99,1141.18,1123.26,1502.53,1207.07
345,720.65,1018.99,1141.18,1123.26,1502.53,1207.07
346,720.65,1018.99,1158.3,1123.26,1502.53,1207.07
347,720.65,1018.99,1158.3,1123.26,1502.53,1207.07
348,720.65,1018.99,1158.3,1123.26,1502.53,1207.07
349,720.65,1034.27,1158.3,1123.26,1502.53,1207.07
350,720.65,1034.27,1158.3,1140.11,1502.53,1207.07
351,720.65,1034.27,1158.3,1140.11,1502.53,1207.07
352,720.65,1034.27,1158.3,1140.11,1502.53,1225.17
353,720.65,1034.27,1158.3,1140.11,1502.53,1225.17
354,731.46,1034.27,1158.3,1140.11,1525.07,1225.17
355,731.46,1034.27,1158.3,1140.11,1525.07,1225.17
356,731.46,1034.27,1158.3,1140.11,1525.07,1225.17
357,731.46,1034.27,1158.3,1140.11,1525.07,1225.17
358,731.46,1034.27,1175.67,1140.11,1525.07,1225.17
359,731.46,1034.27,1175.67,1140.11,1525.07,1225.17
360,731.46,1034.27,1175.67,1140.11,1525.07,1225.17
361,731.46,1049.79,1175.67,1140.11,1525.07,1225.17
362,731.46,1049.79,1175.67,1157.21,1525.07,1225.17
363,731.46,1049.79,1175.67,1157.21,1525.07,1225.17
364,731.46,1049.79,1175.67,1157.21,1525.07,1243.55
365,731.46,1049.79,1175.67,1157.21,1525.07,1243.55
366,742.43,1049.79,1175.67,1157.21,1547.94,1243.55
367,742.43,1049.79,1175.67,1157.21,1547.94,1243.55
368,742.43,1049.79,1175.67,1157.21,1547.94,1243.55
369,742.43,1049.79,1175.67,1157.21,1547.94,1243.55
370,742.43,1049.79,1193.31,1157.21,1547.94,1243.55
371,742.43,1049.79,1193.31,1157.21,1547.94,1243.55
372,742.43,1049.79,1193.31,1157.21,1547.94,1243.55
373,742.43,1065.54,1193.31,1157.21,1547.94,1243.55
374,742.43,1065.54,1193.31,1174.57,1547.94,1243.55
375,742.43,1065.54,1193.31,1174.57,1547.94,1243.55
376,742.43,1065.54,1193.31,1174.57,1547.94,1262.2
377,742.43,1065.54,1193.31,1174.57,1547.94,1262.2
378,753.57,1065.54,1193.31,1174.57,1571.16,1262.2
379,753.57,1065.54,1193.31,1174.57,1571.16,1262.2
380,753.57,1065.54,1193.31,1174.57,1571.16,1262.2
381,753.57,1065.54,1193.31,1174.57,1571.16,1262.2
382,753.57,1065.54,1211.21,1174.57,1571.16,1262.2
383,753.57,1065.54,1211.21,1174.57,1571.16,1262.2
384,753.57,1065.54,1211.21,1174.57,1571.16,1262.2
385,753.57,1081.52,1211.21,1174.57,1571.16,1262.2
386,753.57,1081.52,1211.21,1192.19,1571.16,1262.2
387,753.57,1081.52,1211.21,1192.19,1571.16,1262.2
